name,                    BC_type,     vessel_type,        inp_vessels,          out_vessels
pvn,vp,          venous,             pcap,                  heart    cardiopulm_receptor
par,vp,          arterial_simple,    heart,                pcap
pcap,vp, arterial_simple,    par,                                pvn pulmonary_GE
heart,vp_wCont,          heart,              venous_ivc venous_svc pvn rv_elastance_effector lv_elastance_effector heart_period_effector,       aortic_root par   
aortic_root,             vv,          arterial_simple,    heart,               ascending_aorta arterial_gas_transport
ascending_aorta,pv,split_junction_simple,aortic_root,ub_T   lb_T  aortic_root_baro
ub_T,pp_wCont,          terminal,           ascending_aorta  systemic_resistance_effector,   venous_ub    ub_GE   
lb_T,pp_wCont,          terminal,           ascending_aorta  systemic_resistance_effector,venous_lb          lb_GE   
venous_svc,vp_wCont,          venous,             venous_ub  venous_us_volume_effector,           heart                
venous_ivc,              vp_wCont, venous,             venous_lb venous_us_volume_effector ,  heart                 
venous_lb,               vp_wCont, venous,lb_T    venous_us_volume_effector ,          venous_ivc
venous_ub,               vp_wCont, venous,ub_T     venous_us_volume_effector ,           venous_svc
pulmonary_GE,            nn, pulmonary_GE,       pcap venous_gas_transport,          arterial_gas_transport  respiratory_gt             
respiratory_gt,          nn, respiratory_gas_transport, pulmonary_GE,                lung 
lung,                    nn, simple_lung_bg,     respiratory_gt,lung_stretch cardiopulm_receptor
ub_GE,nn,tissue_GE_simple,ub_T   arterial_gas_transport,venous_gas_transport
lb_GE,nn,tissue_GE_simple,lb_T   arterial_gas_transport,venous_gas_transport
arterial_gas_transport,  nn, gas_transport_simple, pulmonary_GE aortic_root,ub_GE  lb_GE   arterial_chemoreceptor
venous_gas_transport,    nn, gas_transport_simple,lb_GE   ub_GE,  pulmonary_GE 
aortic_root_baro,   nn, baroreceptor,ascending_aorta, NTS LCN sympathetic_efferent
arterial_chemoreceptor,  nn, chemoreceptor,         arterial_gas_transport , sympathetic_efferent    NTS
lung_stretch, nn, lung_stretch_receptor_Gee2023,lung, NTS
cardiopulm_receptor, nn, cardiopulmonary_receptor_Gee2023,pvn lung, NTS LCN
NTS, nn, NTS_Gee2023, lung_stretch aortic_root_baro cardiopulm_receptor arterial_chemoreceptor, DMV NA
DMV, nn, DMV_Gee2023, NTS, LCN PNDMV
NA, nn, NA_Gee2023, NTS, NActr PNNA
NActr, nn, NActr_Gee2023, NA, LCN PNDMV
LCN, nn, LCN_Gee2023, DMV NActr aortic_root_baro sympathetic_efferent cardiopulm_receptor, PNNA PNDMV
PNNA, nn, PNNA_Gee2023, NA LCN, heart_period_effector
PNDMV, nn, PNDMV_Gee2023, DMV NActr LCN, lv_elastance_effector rv_elastance_effector
sympathetic_efferent, nn,afferent_to_sympathetic_efferent, arterial_chemoreceptor aortic_root_baro,systemic_resistance_effector rv_elastance_effector lv_elastance_effector heart_period_effector venous_us_volume_effector LCN
systemic_resistance_effector,      nn,efferent_resistance_effector,     sympathetic_efferent,ub_T     lb_T
lv_elastance_effector,  nn_lv,  heart_effector_Gee2023,     sympathetic_efferent PNDMV, heart
rv_elastance_effector,  nn_rv,  heart_effector_Gee2023,     sympathetic_efferent PNDMV, heart
heart_period_effector,  nn,efferent_heart_period_effector,     sympathetic_efferent PNNA, heart
venous_us_volume_effector, nn, efferent_venous_us_volume_effector, sympathetic_efferent,venous_svc venous_ivc venous_lb venous_ub
